ad_id,fb_campaign_id,xyz_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion
708746,103916,916,30-34,M,15,7350,1,1.43,2,1
708749,103917,916,30-34,M,16,17861,2,1.82,2,0
708771,103920,916,30-34,M,20,693,0,0,1,0
708815,103928,916,30-34,M,28,4259,1,1.25,1,0
708818,103928,916,30-34,M,28,4133,1,1.29,1,1
708820,103929,916,30-34,M,29,1915,0,0,1,1
708889,103940,916,30-34,M,15,15615,3,4.77,1,0
708895,103941,916,30-34,M,16,10951,1,1.27,1,1
708953,103951,916,30-34,M,27,2355,1,1.5,1,0
708958,103952,916,30-34,M,28,9502,3,3.16,1,0
708979,103955,916,30-34,M,31,1224,0,0,1,0
709023,103962,916,30-34,M,7,735,0,0,1,0
709038,103965,916,30-34,M,16,5117,0,0,1,0
709040,103965,916,30-34,M,16,5120,0,0,1,0
709059,103968,916,30-34,M,20,14669,7,10.28,1,1
709105,103976,916,30-34,M,28,1241,0,0,1,1
709115,103978,916,30-34,M,30,2305,1,0.57,1,0
709124,103979,916,30-34,M,31,1024,0,0,1,1
709179,103988,916,35-39,M,15,4627,1,1.69,1,0
709183,103989,916,35-39,M,16,21026,4,4.63,2,1
709320,104012,916,35-39,M,15,1422,0,0,1,1
709323,104012,916,35-39,M,15,7132,2,2.61,1,0
709326,104013,916,35-39,M,16,12190,2,3.05,1,0
709327,104013,916,35-39,M,16,12193,2,3.06,1,1
709328,104013,916,35-39,M,16,3332,0,0,1,1
709455,104034,916,35-39,M,7,559,0,0,1,0
709544,104049,916,35-39,M,29,7440,2,2.98,1,1
709614,104061,916,40-44,M,16,19113,4,5.52,1,0
709756,104085,916,40-44,M,16,10976,2,1.69,1,1
709761,104085,916,40-44,M,16,2861,0,0,1,0
709899,104108,916,40-44,M,15,1398,0,0,1,1
709901,104109,916,40-44,M,16,23817,7,8.47,1,1
710045,104133,916,45-49,M,16,47224,12,15.82,1,0
710088,104140,916,45-49,M,24,2283,1,1.47,1,0
710360,104185,916,45-49,M,21,2182,1,1.53,1,1
710477,104205,916,30-34,F,16,2654,0,0,1,1
710480,104205,916,30-34,F,16,57665,14,18.07,1,1
710571,104220,916,30-34,F,32,3091,1,1.61,1,1
710617,104228,916,30-34,F,15,5014,1,1.19,1,0
710623,104229,916,30-34,F,16,38726,7,9.22,1,0
710628,104230,916,30-34,F,18,1473,0,0,1,0
710682,104239,916,30-34,F,27,1186,0,0,1,0
710763,104252,916,30-34,F,15,5369,1,1.51,1,0
710836,104265,916,30-34,F,29,22221,7,9.43,1,1
710867,104270,916,30-34,F,63,1185,0,0,1,0
710880,104272,916,30-34,F,65,13019,5,6.96,1,0
710961,104285,916,35-39,F,25,2508,1,1.22,1,0
710968,104287,916,35-39,F,27,5864,2,2.8,1,1
711217,104328,916,35-39,F,20,2783,1,1.6,1,0
711623,104396,916,40-44,F,15,3812,1,1.13,2,1
711764,104419,916,45-49,F,10,11199,4,5.73,1,1
711785,104423,916,45-49,F,19,292,0,0,1,0
711877,104438,916,45-49,F,63,17572,7,9.38,1,0
712052,104467,916,45-49,F,10,1448,0,0,1,1
734209,108654,936,30-34,M,10,1772,0,0,1,1
734210,108654,936,30-34,M,10,13329,4,5.63,1,1
734215,108655,936,30-34,M,15,13659,3,3.84,1,0
734243,108660,936,30-34,M,21,739,0,0,1,1
734266,108664,936,30-34,M,25,605,0,0,1,0
734272,108665,936,30-34,M,26,1030,0,0,1,0
734290,108668,936,30-34,M,29,5374,1,1.04,4,0
734313,108672,936,30-34,M,36,790,0,0,1,1
734314,108672,936,30-34,M,36,962,0,0,1,0
734352,108678,936,35-39,M,10,4423,1,1.46,1,1
734361,108680,936,35-39,M,16,12382,2,2.84,1,1
734381,108683,936,35-39,M,20,2938,1,1.35,1,1
734399,108686,936,35-39,M,23,239,0,0,1,0
734418,108689,936,35-39,M,26,591,0,0,1,0
734421,108690,936,35-39,M,27,10332,4,5.75,1,0
734427,108691,936,35-39,M,28,8259,3,3.98,1,0
734433,108692,936,35-39,M,29,12158,3,4.45,1,0
734582,108716,936,40-44,M,29,7709,2,1.32,2,0
734605,108720,936,40-44,M,36,834,0,0,1,0
734660,108729,936,45-49,M,18,1299,0,0,2,0
734666,108730,936,45-49,M,19,371,0,0,1,0
734726,108740,936,45-49,M,29,10466,3,4.09,1,0
734737,108742,936,45-49,M,31,839,0,0,1,0
734785,108750,936,30-34,F,10,5576,1,1.53,1,1
734794,108752,936,30-34,F,16,4010,0,0,1,0
734796,108752,936,30-34,F,16,39337,7,10.03,1,1
734800,108753,936,30-34,F,18,1635,0,0,1,0
734803,108753,936,30-34,F,18,1631,0,0,1,0
734852,108761,936,30-34,F,26,13479,3,4.25,1,0
734854,108762,936,30-34,F,27,57022,13,20.29,3,3
734856,108762,936,30-34,F,27,5453,1,1.39,1,1
734866,108764,936,30-34,F,29,11803,3,4.44,1,0
734881,108766,936,30-34,F,31,4259,1,1.57,1,1
734901,108770,936,30-34,F,64,1554,0,0,1,0
734903,108770,936,30-34,F,64,5323,1,1.29,1,1
734925,108774,936,35-39,F,10,5024,1,1.41,1,1
734939,108776,936,35-39,F,16,104648,24,33.33,4,2
734968,108781,936,35-39,F,22,8504,3,3.34,1,1
734999,108786,936,35-39,F,27,20277,6,8.05,1,0
735014,108788,936,35-39,F,29,12403,4,5.21,1,1
735032,108791,936,35-39,F,32,498,0,0,1,1
735033,108792,936,35-39,F,36,652,0,0,0,0
735043,108793,936,35-39,F,63,1357,0,0,1,1
735048,108794,936,35-39,F,64,1393,0,0,1,0
735065,108797,936,40-44,F,7,648,0,0,1,0
735109,108804,936,40-44,F,21,708,0,0,1,1
735140,108809,936,40-44,F,26,6907,2,2.35,1,0
735143,108810,936,40-44,F,27,39035,13,19.33,1,0
735151,108811,936,40-44,F,28,926,0,0,1,0
735184,108817,936,40-44,F,63,4412,1,1.45,1,0
735189,108818,936,40-44,F,64,9965,3,4.05,1,0
735213,108822,936,45-49,F,10,73634,23,32.98,1,0
735220,108823,936,45-49,F,15,69708,20,31.29,1,0
735242,108826,936,45-49,F,19,530,0,0,1,0
735247,108827,936,45-49,F,20,14257,6,8.79,1,0
735289,108834,936,45-49,F,27,20362,5,9.12,1,1
735290,108834,936,45-49,F,27,12215,4,6.26,1,0
735298,108836,936,45-49,F,29,85412,28,38.64,2,1
736869,109448,936,30-34,M,2,2338,1,0.24,1,0
736890,109451,936,30-34,M,15,2522,0,0,1,0
736893,109452,936,30-34,M,16,3587,0,0,1,0
736977,109470,936,30-34,M,27,1273,0,0,1,0
